-- cache/uniform: m=50000 n=2000000 l=roundrobin
14	50000	2000000	7.392364481s	270549.430448
13	50000	2000000	7.275707933s	274887.339956
12	50000	2000000	6.780525552s	294962.386715
11	50000	2000000	7.378547307s	271056.065210
10	50000	2000000	7.998943377s	250033.023830
9	50000	2000000	8.709079114s	229645.404964
8	50000	2000000	10.129615788s	197440.854802
7	50000	2000000	11.152522119s	179331.632671
6	50000	2000000	13.672759474s	146276.251243
5	50000	2000000	16.223128963s	123280.780456
4	50000	2000000	20.27555553s	98640.947077
3	50000	2000000	27.567832828s	72548.321534
2	50000	2000000	41.844199619s	47796.349750
1	50000	2000000	1m22.538172365s	24231.212573
-- nullcache/uniform: m=50000 n=2000000 l=roundrobin
14	50000	2000000	7.187602067s	278256.918143
13	50000	2000000	7.640035935s	261778.873426
12	50000	2000000	6.94609669s	287931.494371
11	50000	2000000	7.138831017s	280157.913143
10	50000	2000000	7.973076118s	250844.212497
9	50000	2000000	8.75684831s	228392.673848
8	50000	2000000	9.778696191s	204526.243677
7	50000	2000000	11.353553825s	176156.297035
6	50000	2000000	13.242041796s	151034.110208
5	50000	2000000	16.117222453s	124090.860310
4	50000	2000000	21.108189101s	94749.956542
3	50000	2000000	28.226497105s	70855.409106
2	50000	2000000	42.235402636s	47353.638776
1	50000	2000000	1m23.194634958s	24040.011727
-- cache/uniform: m=50000 n=10000000 l=modulo
14	50000	10000000	4.497336347s	2223538.385487
13	50000	10000000	4.145982652s	2411973.430515
12	50000	10000000	2.22306619s	4498291.614070
11	50000	10000000	5.586762613s	1789945.392835
10	50000	10000000	10.283144964s	972465.139314
9	50000	10000000	15.182029978s	658673.445810
8	50000	10000000	21.209825529s	471479.597337
7	50000	10000000	29.019764991s	344592.728546
6	50000	10000000	40.547048067s	246627.078338
5	50000	10000000	54.994526354s	181836.278317
4	50000	10000000	1m20.44354809s	124310.777401
3	50000	10000000	1m55.571390232s	86526.604724
2	50000	10000000	3m8.712528465s	52990.652403
1	50000	10000000	7m4.016990096s	23583.960628
-- nullcache/uniform: m=50000 n=2000000 l=modulo
14	50000	2000000	7.271568021s	275043.841194
13	50000	2000000	7.465497778s	267899.081813
12	50000	2000000	7.314094186s	273444.660287
11	50000	2000000	7.25260437s	275763.008427
10	50000	2000000	7.877289107s	253894.451865
9	50000	2000000	8.79376777s	227433.797697
8	50000	2000000	9.759664303s	204925.081223
7	50000	2000000	11.304780223s	176916.309786
6	50000	2000000	13.292936539s	150455.845037
5	50000	2000000	16.263390632s	122975.586411
4	50000	2000000	20.852067801s	95913.749134
3	50000	2000000	28.005789959s	71413.804179
2	50000	2000000	43.030580613s	46478.573412
1	50000	2000000	1m25.237826982s	23463.760995
-- cache/zipf:1.01: m=50000 n=500000 l=roundrobin
14	50000	500000	1.073862752s	465608.849053
13	50000	500000	1.071375747s	466689.675774
12	50000	500000	999.648517ms	500175.803292
11	50000	500000	975.327259ms	512648.442239
10	50000	500000	1.109642893s	450595.415114
9	50000	500000	1.173833237s	425954.883743
8	50000	500000	1.412736018s	353923.163018
7	50000	500000	1.523060508s	328286.366414
6	50000	500000	1.788109197s	279624.980867
5	50000	500000	2.205377068s	226718.599397
4	50000	500000	2.687335342s	186057.911041
3	50000	500000	3.590401861s	139260.177372
2	50000	500000	5.274624627s	94793.475433
1	50000	500000	11.316040331s	44185.066982
-- nullcache/zipf:1.01: m=50000 n=500000 l=roundrobin
14	50000	500000	1.955681171s	255665.395472
13	50000	500000	1.820671029s	274624.021603
12	50000	500000	1.695698414s	294863.753998
11	50000	500000	1.836348643s	272279.450804
10	50000	500000	2.122149285s	235610.191768
9	50000	500000	2.210519603s	226191.163074
8	50000	500000	2.526969071s	197865.500507
7	50000	500000	2.815120633s	177612.282095
6	50000	500000	3.295451684s	151724.269674
5	50000	500000	4.043837887s	123644.917025
4	50000	500000	4.911307841s	101805.876599
3	50000	500000	6.513210408s	76767.057822
2	50000	500000	9.752332602s	51269.785435
1	50000	500000	20.513290457s	24374.441587
-- cache/zipf:1.01: m=50000 n=2000000 l=modulo
14	50000	2000000	1.78820989s	1118436.941426
13	50000	2000000	2.012655052s	993712.259839
12	50000	2000000	2.00186952s	999066.112960
11	50000	2000000	2.140385358s	934411.176251
10	50000	2000000	2.35274652s	850070.325468
9	50000	2000000	2.758097058s	725137.643071
8	50000	2000000	3.203153361s	624384.715497
7	50000	2000000	3.790520162s	527632.070144
6	50000	2000000	4.815492038s	415326.198074
5	50000	2000000	6.322357041s	316337.718201
4	50000	2000000	8.564907138s	233510.996415
3	50000	2000000	12.327488523s	162239.047821
2	50000	2000000	20.18679894s	99074.648038
1	50000	2000000	47.527285435s	42081.090508
-- nullcache/zipf:1.01: m=50000 n=500000 l=modulo
14	50000	500000	3.724449679s	134248.021344
13	50000	500000	3.362589954s	148694.906855
12	50000	500000	3.313100586s	150916.033794
11	50000	500000	3.505741113s	142623.195462
10	50000	500000	4.175496981s	119746.224767
9	50000	500000	3.553622791s	140701.483924
8	50000	500000	3.675705763s	136028.298302
7	50000	500000	4.543808941s	110039.838050
6	50000	500000	4.348305551s	114987.319574
5	50000	500000	5.794762224s	86284.817335
4	50000	500000	7.033855942s	71084.765472
3	50000	500000	7.234220451s	69115.947376
2	50000	500000	10.367689271s	48226.753998
1	50000	500000	21.032850319s	23772.336722
