thread	m	n	time	rate	speedup
14	50000	10000000	4.497336347s	2223538.385487	94.281648
13	50000	10000000	4.145982652s	2411973.430515	102.27160
12	50000	10000000	2.22306619s	2198291.614070	93.211144
11	50000	10000000	5.586762613s	1789945.392835	75.896599
10	50000	10000000	10.283144964s	972465.139314	41.234105
9	50000	10000000	15.182029978s	658673.445810	27.928827
8	50000	10000000	21.209825529s	471479.597337	19.991503
7	50000	10000000	29.019764991s	344592.728546	14.611293
6	50000	10000000	40.547048067s	246627.078338	10.457390
5	50000	10000000	54.994526354s	181836.278317	7.7101543
4	50000	10000000	1m20.44354809s	124310.777401	5.2709794
3	50000	10000000	1m55.571390232s	86526.604724	3.6688689
2	50000	10000000	3m8.712528465s	52990.652403	2.2468899
1	50000	10000000	7m4.016990096s	23583.960628	0.99999833
