thread	m	n	time	rate	speedup
14	50000	2000000	7.392364481s	270549.430448	11.165329
13	50000	2000000	7.275707933s	274887.339956	11.344351
12	50000	2000000	6.780525552s	294962.386715	12.172829
11	50000	2000000	7.378547307s	271056.065210	11.186237
10	50000	2000000	7.998943377s	250033.023830	10.318636
9	50000	2000000	8.709079114s	229645.404964	9.4772570
8	50000	2000000	10.129615788s	197440.854802	8.1482045
7	50000	2000000	11.152522119s	179331.632671	7.4008534
6	50000	2000000	13.672759474s	146276.251243	6.0366879
5	50000	2000000	16.223128963s	123280.780456	5.0876857
4	50000	2000000	20.27555553s	98640.947077	4.0708222
3	50000	2000000	27.567832828s	72548.321534	2.9940033
2	50000	2000000	41.844199619s	47796.349750	1.9725119
1	50000	2000000	1m22.538172365s	24231.212573	1.0000001
