thread	m	n	time	rate	speedup
48	100000	400000	2.701431994s	148069.616740	28.892469
47	100000	400000	2.855908249s	140060.521951	27.329674
46	100000	400000	2.717739567s	147181.137169	28.719102
45	100000	400000	2.795035979s	143110.859039	27.924879
44	100000	400000	2.934446644s	136311.900855	26.598214
43	100000	400000	2.824529153s	141616.523793	27.633293
42	100000	400000	2.921603573s	136911.114053	26.715137
41	100000	400000	2.854137677s	140147.408874	27.346628
40	100000	400000	3.073558116s	130142.325248	25.394360
39	100000	400000	3.019868731s	132456.088536	25.845839
38	100000	400000	3.091433793s	129389.799939	25.247521
37	100000	400000	3.104782022s	128833.521054	25.138976
36	100000	400000	3.263834465s	122555.235043	23.913909
35	100000	400000	3.301717983s	121149.050906	23.639524
34	100000	400000	3.0295604s	132032.356906	25.763157
33	100000	400000	3.023771569s	132285.125008	25.812479
32	100000	400000	3.119745768s	128215.575802	25.018398
31	100000	400000	3.115889579s	128374.253920	25.049360
30	100000	400000	3.08249165s	129765.152811	25.320763
29	100000	400000	3.150067713s	126981.397368	24.777576
28	100000	400000	3.259552939s	122716.215225	23.945321
27	100000	400000	3.394589083s	117834.586225	22.992780
26	100000	400000	3.374553992s	118534.182872	23.129291
25	100000	400000	3.748252457s	106716.397732	20.823315
24	100000	400000	3.680984815s	108666.571611	21.203848
23	100000	400000	3.920744126s	102021.449793	19.907201
22	100000	400000	3.78516833s	105675.617338	20.620230
21	100000	400000	3.943375179s	101435.948101	19.792953
20	100000	400000	4.369143664s	91551.120943	17.864151
19	100000	400000	4.459650406s	89693.129188	17.501605
18	100000	400000	4.38361319s	91248.927007	17.805184
17	100000	400000	5.048216239s	79235.908500	15.461113
16	100000	400000	5.263881876s	75989.547148	14.827658
15	100000	400000	5.500999171s	72714.062949	14.188521
14	100000	400000	6.21358753s	64375.048725	12.561349
13	100000	400000	6.538379704s	61177.236274	11.937367
12	100000	400000	7.200752745s	55549.747945	10.839289
11	100000	400000	7.273936709s	54990.855159	10.730234
10	100000	400000	8.927295311s	44806.403963	8.7429662
9	100000	400000	9.77999779s	40899.804743	7.9806808
8	100000	400000	10.88478239s	36748.552766	7.1706570
7	100000	400000	11.86204466s	33720.999327	6.5798977
6	100000	400000	13.511991483s	29603.334231	5.7764276
5	100000	400000	15.921869867s	25122.677383	4.9021278
4	100000	400000	20.990220952s	19056.493065	3.7184478
3	100000	400000	26.464195548s	15114.761349	2.9493071
2	100000	400000	40.297542507s	9926.163610	1.9368685
1	100000	400000	1m18.051040805s	5124.851583	1.
