thread	m	n	time	rate	speedup
48	100000	40000000	11.134993602s	3892278.669367  3248.9039 
47	100000	40000000	10.585717049s	3778676.476506	3154.0796
46	100000	40000000	11.099396556s	3603799.521730	3008.1090
45	100000	40000000	11.428407312s	3500050.261422	2921.5090
44	100000	40000000	11.887893489s	3364767.697239	2808.5880
43	100000	40000000	12.179208015s	3284285.805016	2741.4093
42	100000	40000000	13.22287617s	3025060.469881	2525.0327
41	100000	40000000	13.063622261s	3061937.891408	2555.8145
40	100000	40000000	13.634933382s	2933641.029211	2448.7244
39	100000	40000000	13.935048626s	2870460.023036	2395.9869
38	100000	40000000	14.961627141s	2673506.004597	2231.5885
37	100000	40000000	15.199278924s	2631703.793319	2196.6960
36	100000	40000000	16.395708324s	2439662.819657	2036.3984
35	100000	40000000	17.050397867s	2345986.311406	1958.2062
34	100000	40000000	17.816970735s	2245050.552922	1873.9546
33	100000	40000000	19.081847273s	2096233.107190	1749.7360
32	100000	40000000	26.05529055s	1535196.850837	1281.4363
31	100000	40000000	22.005234852s	1817749.288705	1517.2842
30	100000	40000000	22.974797581s	1741038.190172	1453.2530
29	100000	40000000	24.660919303s	1621999.549511	1353.8909
28	100000	40000000	31.591278361s	1266172.249914	1056.8801
27	100000	40000000	30.362974807s	1317393.972569	1099.6352
26	100000	40000000	33.400207091s	1197597.364921	999.64035
25	100000	40000000	38.741186611s	1032492.897072	861.82684
24	100000	40000000	50.400701932s	793639.740454	662.45495
23	100000	40000000	46.818573314s	854361.787826	713.13994
22	100000	40000000	52.985717281s	754920.421061	630.13575
21	100000	40000000	1m2.779315357s	637152.536190	531.83432
20	100000	40000000	1m8.613397895s	582976.521017	486.61334
19	100000	40000000	1m20.643977322s	496007.281986	414.01969
18	100000	40000000	1m32.272960336s	433496.442017	361.84159
17	100000	40000000	1m45.631272049s	378675.738956	316.08248
16	100000	40000000	2m18.33623648s	289150.558218	241.35538
15	100000	40000000	2m26.398207489s	273227.389092	228.06423
14	100000	40000000	3m3.448615941s	218044.708568	182.00298
13	100000	40000000	3m26.198366412s	193987.957790	161.92269
12	100000	40000000	4m6.619990679s	162192.853426	135.38316
11	100000	40000000	4m58.883779752s	133831.283963	111.70962
10	100000	4000000	36.247774492s	110351.602438	92.111019
9	100000	4000000	44.33119036s	90229.925421	75.315358
8	100000	4000000	1m1.185151257s	65375.338915	54.569113
7	100000	4000000	1m19.138461076s	50544.323779	42.189593
6	100000	4000000	1m52.260081267s	35631.543776	29.741823
5	100000	4000000	2m39.228826475s	25121.079446	20.968687
4	100000	4000000	4m14.217481315s	15734.559163	13.133713
3	100000	4000000	6m27.798393481s	10314.637882	8.6096784
2	100000	4000000	14m23.024504771s	4634.862600	3.8687424
1	100000	4000000	55m38.819457355s	1198.028241	1.
