thread	m	n	time	rate	speedup
48	100000	200000	6.062190725s	32991.373758	7.3271204
47	100000	200000	7.063624085s	28314.077532	6.2883303
46	100000	200000	7.461638437s	26803.764574	5.9529018
45	100000	200000	8.360011262s	23923.412748	5.3131987
44	100000	200000	6.86437266s	29135.947290	6.4708610
43	100000	200000	7.412286335s	26982.228015	5.9925371
42	100000	200000	7.205548422s	27756.388312	6.1644719
41	100000	200000	6.894585302s	29008.271163	6.4425051
40	100000	200000	8.265164953s	24197.944159	5.3741699
39	100000	200000	6.387637646s	31310.479881	6.9538073
38	100000	200000	6.701884582s	29842.352185	6.6277478
37	100000	200000	7.479202774s	26740.817978	5.9389219
36	100000	200000	6.947556947s	28787.097612	6.3933842
35	100000	200000	7.827024528s	25552.494346	5.6750047
34	100000	200000	8.487043483s	23565.332309	5.2336719
33	100000	200000	7.093296295s	28195.635947	6.2620253
32	100000	200000	7.077704675s	28257.748689	6.2758201
31	100000	200000	7.823689915s	25563.385330	5.6774235
30	100000	200000	8.170219921s	24479.145229	5.4366224
29	100000	200000	6.466213215s	30930.003906	6.8693066
28	100000	200000	7.447331117s	26855.258194	5.9643381
27	100000	200000	7.440784486s	26878.886276	5.9695857
26	100000	200000	7.480004252s	26737.952715	5.9382855
25	100000	200000	7.207697155s	27748.113676	6.1626342
24	100000	200000	8.204908911s	24375.651475	5.4136373
23	100000	200000	7.757587261s	25781.211770	5.7258010
22	100000	200000	7.559697651s	26456.084520	5.8756849
21	100000	200000	7.479472859s	26739.852363	5.9387074
20	100000	200000	8.933991034s	22386.411542	4.9718430
19	100000	200000	6.74833944s	29636.920576	6.5821231
18	100000	200000	8.596933561s	23264.109066	5.1667726
17	100000	200000	9.207698957s	21720.953404	4.8240501
16	100000	200000	6.758878626s	29590.707433	6.5718595
15	100000	200000	9.349012458s	21392.633810	4.7511329
14	100000	200000	10.074877592s	19851.357813	4.4088279
13	100000	200000	8.868942087s	22550.603898	5.0083088
12	100000	200000	10.223706255s	19562.377382	4.3446476
11	100000	200000	7.818036171s	25581.871921	5.6815292
10	100000	200000	9.229649991s	21669.294090	4.8125770
9	100000	200000	11.288969489s	17716.408942	3.9346728
8	100000	200000	9.574130286s	20889.625901	4.6394189
7	100000	200000	11.340747687s	17635.521530	3.9167083
6	100000	200000	12.870854234s	15538.984155	3.4510841
5	100000	200000	13.067104042s	15305.610130	3.3992536
4	100000	200000	14.273029156s	14012.442476	3.1120514
3	100000	200000	17.66376543s	11322.614127	2.5146621
2	100000	200000	24.428067864s	8187.303274	1.8183346
1	100000	200000	44.418401029s	4502.638442	1.
