thread	m	n	time	rate	speedup
48	100000	200000	1.438302444s	139052.812456	28.020648
47	100000	200000	1.473221144s	135756.943765	27.356495
46	100000	200000	1.417713014s	141072.274872	28.427592
45	100000	200000	1.447186072s	138199.229435	27.848642
44	100000	200000	1.511847036s	132288.515463	26.657569
43	100000	200000	1.397237261s	143139.612421	28.844182
42	100000	200000	1.474446898s	135644.084756	27.333752
41	100000	200000	1.517650515s	131782.645624	26.555631
40	100000	200000	1.560809155s	128138.664076	25.821329
39	100000	200000	1.539509751s	129911.486348	26.178572
38	100000	200000	1.529883192s	130728.934762	26.343296
37	100000	200000	1.590659525s	125734.009608	25.336765
36	100000	200000	1.536902905s	130131.838094	26.222975
35	100000	200000	1.54623944s	129346.073335	26.064635
34	100000	200000	1.72627753s	115856.226200	23.346285
33	100000	200000	1.71216971s	116810.850485	23.538652
32	100000	200000	1.713015327s	116753.187696	23.527032
31	100000	200000	1.644908445s	121587.314241	24.501161
30	100000	200000	1.619048822s	123529.319982	24.892496
29	100000	200000	1.590346449s	125758.761637	25.341753
28	100000	200000	1.666355983s	120022.373395	24.185808
27	100000	200000	1.717898177s	116421.335489	23.460160
26	100000	200000	1.791326797s	111649.086216	22.498500
25	100000	200000	1.850207185s	108096.002232	21.782515
24	100000	200000	1.838009925s	108813.340603	21.927067
23	100000	200000	1.948068574s	102665.790450	20.688269
22	100000	200000	2.028813848s	98579.768763	19.864891
21	100000	200000	2.065262887s	96839.971928	19.514303
20	100000	200000	2.166348814s	92321.235947	18.603729
19	100000	200000	2.390520475s	83663.788740	16.859160
18	100000	200000	2.501102413s	79964.738333	16.113761
17	100000	200000	2.576636099s	77620.584481	15.641389
16	100000	200000	2.735763457s	73105.735618	14.731598
15	100000	200000	2.907356249s	68791.019356	13.862136
14	100000	200000	3.17924876s	62907.943070	12.676632
13	100000	200000	3.350130328s	59699.170008	12.030029
12	100000	200000	3.732482932s	53583.634177	10.797683
11	100000	200000	3.936184464s	50810.626847	10.238892
10	100000	200000	4.111331413s	48646.041856	9.8027044
9	100000	200000	4.544771266s	44006.615140	8.8678096
8	100000	200000	5.372822856s	37224.380062	7.5011158
7	100000	200000	5.954478434s	33588.164306	6.7683789
6	100000	200000	6.79637521s	29427.451225	5.9299502
5	100000	200000	8.024415501s	24923.933709	5.0224426
4	100000	200000	10.328622911s	19363.665585	3.9019884
3	100000	200000	15.08395103s	13259.125517	2.6718574
2	100000	200000	20.372774816s	9817.023052	1.9782365
1	100000	200000	40.302166465s	4962.512379	1.
