thread	m	n	time	rate	speedup
64	500	200000	5.352574322s	37365.198121	27.959946
63	500	200000	5.156827566s	38783.534536	29.021271
62	500	200000	5.441588259s	36753.975215	27.502575
61	500	200000	5.237881697s	38183.374801	28.572179
60	500	200000	5.438639394s	36773.903455	27.517487
59	500	200000	5.063818156s	39495.889038	29.554318
58	500	200000	5.257267429s	38042.576814	28.466821
57	500	200000	5.149042374s	38842.174034	29.065150
56	500	200000	5.330031516s	37523.230285	28.078200
55	500	200000	5.412792662s	36949.503240	27.648887
54	500	200000	5.516696679s	36253.579205	27.128135
53	500	200000	5.253422112s	38070.422619	28.487658
52	500	200000	5.674164409s	35247.480613	26.375283
51	500	200000	5.287442685s	37825.469119	28.304362
50	500	200000	5.51865201s	36240.734085	27.118523
49	500	200000	5.432003461s	36818.827793	27.551104
48	500	200000	5.679814645s	35212.416690	26.349045
47	500	200000	5.606483701s	35672.983400	26.693682
46	500	200000	5.786288273s	34564.472174	25.864196
45	500	200000	5.676709931s	35231.675113	26.363456
44	500	200000	5.67054434s	35269.982564	26.392121
43	500	200000	5.832266812s	34291.983966	25.660296
42	500	200000	6.164918786s	32441.627691	24.275696
41	500	200000	5.742849164s	34825.919032	26.059833
40	500	200000	5.967309193s	33515.943875	25.079594
39	500	200000	5.728655876s	34912.203548	26.124399
38	500	200000	5.910336891s	33839.018602	25.321347
37	500	200000	5.697646237s	35102.214437	26.266582
36	500	200000	5.800724214s	34478.453486	25.799829
35	500	200000	5.69924105s	35092.391819	26.259232
34	500	200000	5.750313746s	34780.710903	26.026004
33	500	200000	5.76744727s	34677.386829	25.948688
32	500	200000	6.236398109s	32069.793574	23.997456
31	500	200000	6.177280524s	32376.706744	24.227116
30	500	200000	6.217705398s	32166.207177	24.069602
29	500	200000	5.664469912s	35307.805162	26.420423
28	500	200000	6.634258592s	30146.548740	22.558314
27	500	200000	6.784842166s	29477.472741	22.057653
26	500	200000	6.985778769s	28629.592578	21.423194
25	500	200000	6.384251954s	31327.084432	23.441696
24	500	200000	8.038633393s	24879.850868	18.617305
23	500	200000	7.260541035s	27546.156552	20.612471
22	500	200000	8.048794162s	24848.442633	18.593803
21	500	200000	7.594202114s	26335.880583	19.706835
20	500	200000	9.172421627s	21804.492656	16.316050
19	500	200000	8.310666828s	24065.457579	18.007904
18	500	200000	9.576066448s	20885.402277	15.628305
17	500	200000	9.673672952s	20674.670417	15.470617
16	500	200000	11.514517898s	17369.376796	12.997304
15	500	200000	10.340554301s	19341.322929	14.472889
14	500	200000	12.489978347s	16012.838008	11.982222
13	500	200000	12.155790048s	16453.064689	12.311638
12	500	200000	14.880334287s	13440.558266	10.057415
11	500	200000	13.915919877s	14372.028710	10.754423
10	500	200000	16.925607088s	11816.415149	8.8420871
9	500	200000	18.26280504s	10951.220229	8.1946717
8	500	200000	22.460700197s	8904.441903	6.6630911
7	500	200000	21.86350537s	9147.663955	6.8450913
6	500	200000	28.463914052s	7026.440553	5.2578044
5	500	200000	30.230426232s	6615.851145	4.9505650
4	500	200000	43.633392557s	4583.645421	3.4298890
3	500	200000	50.166889175s	3986.693281	2.9831966
2	500	200000	1m23.985911033s	2381.351795	1.7819381
1	500	200000	2m29.657691243s	1336.383037	1.
