thread	m	n	time	rate	speedup
64	500	200000	5.163035225s	38736.904027	28.979062
63	500	200000	4.815600686s	41531.682762	31.069835
62	500	200000	4.775534037s	41880.132871	31.330511
61	500	200000	4.95358144s	40374.828278	30.204393
60	500	200000	4.932572886s	40546.790615	30.333038
59	500	200000	4.969270903s	40247.352963	30.109029
58	500	200000	5.002574212s	39979.416901	29.908586
57	500	200000	5.064865857s	39487.719053	29.540747
56	500	200000	5.043994177s	39651.116354	29.662984
55	500	200000	5.129071864s	38993.409588	29.170954
54	500	200000	5.115827991s	39094.355860	29.246472
53	500	200000	5.275766829s	37909.181069	28.359843
52	500	200000	5.262165668s	38007.165228	28.433145
51	500	200000	5.270996618s	37943.488584	28.385509
50	500	200000	5.296197568s	37762.941701	28.250442
49	500	200000	5.263713558s	37995.988535	28.424784
48	500	200000	5.35631846s	37339.079350	27.933350
47	500	200000	5.457574969s	36646.312902	27.415092
46	500	200000	5.338712194s	37462.217990	28.025470
45	500	200000	5.50263813s	36346.202544	27.190580
44	500	200000	5.376886559s	37196.246900	27.826497
43	500	200000	5.641868874s	35449.246423	26.519567
42	500	200000	5.329022262s	37530.336742	28.076430
41	500	200000	5.204504476s	38428.250167	28.748159
40	500	200000	5.542056861s	36087.684594	26.997182
39	500	200000	5.497322033s	36381.350556	27.216874
38	500	200000	5.823678202s	34342.556897	25.691653
37	500	200000	5.655136891s	35366.075809	26.457347
36	500	200000	5.813388773s	34403.341632	25.737126
35	500	200000	5.673808234s	35249.693284	26.370281
34	500	200000	5.689512178s	35152.398614	26.297495
33	500	200000	5.746761464s	34802.210124	26.035520
32	500	200000	6.231199004s	32096.551542	24.011417
31	500	200000	5.52055656s	36228.231307	27.102325
30	500	200000	6.134741031s	32601.213155	24.388955
29	500	200000	5.633050564s	35504.740767	26.561082
28	500	200000	5.699173286s	35092.809073	26.252916
27	500	200000	6.163086809s	32451.270962	24.276783
26	500	200000	6.823716683s	29309.540430	21.926455
25	500	200000	6.494555854s	30795.023478	23.037745
24	500	200000	6.351551521s	31488.369312	23.556437
23	500	200000	7.011617652s	28524.088153	21.338859
22	500	200000	7.841733109s	25504.566047	19.079956
21	500	200000	8.48275172s	23577.254952	17.638135
20	500	200000	8.044978461s	24860.228150	18.597927
19	500	200000	8.380498334s	23864.929271	17.853344
18	500	200000	8.804536508s	22715.562576	16.993503
17	500	200000	9.352478947s	21384.704647	15.997889
16	500	200000	9.573058349s	20891.965003	15.629271
15	500	200000	10.125862321s	19751.404242	14.776018
14	500	200000	11.026048894s	18138.863878	13.569677
13	500	200000	11.662117566s	17149.544143	12.829567
12	500	200000	12.660288402s	15797.428435	11.818050
11	500	200000	13.977352513s	14308.861411	10.704454
10	500	200000	15.426029389s	12965.099116	9.6991855
9	500	200000	17.192343779s	11633.085202	8.7027064
8	500	200000	18.740176914s	10672.257840	7.9839118
7	500	200000	21.406027429s	9343.162839	6.9896164
6	500	200000	25.353100652s	7888.581470	5.9014446
5	500	200000	30.306782772s	6599.182813	4.9368460
4	500	200000	37.977942346s	5266.214746	3.9396531
3	500	200000	49.895184774s	4008.402833	2.9986846
2	500	200000	1m14.882147157s	2670.863585	1.9980720
1	500	200000	2m29.619920147s	1336.720403	1.
