thread	m	n	time	rate	speedup
64	500	2000000	10.790488577s	185348.419187	95.797671
63	500	2000000	10.666524658s	187502.496279	96.911010
62	500	2000000	11.578739619s	172730.371855	89.276010
61	500	2000000	11.297886116s	177024.266262	91.495317
60	500	2000000	11.207883651s	178445.821020	92.230051
59	500	2000000	11.253194653s	177727.308704	91.858686
58	500	2000000	11.298194586s	177019.433041	91.492819
57	500	2000000	11.181367309s	178869.000966	92.448772
56	500	2000000	11.278491237s	177328.683241	91.652656
55	500	2000000	12.333139169s	162164.715130	83.815131
54	500	2000000	12.106752974s	165197.060211	85.382404
53	500	2000000	12.026867658s	166294.338382	85.949534
52	500	2000000	12.18725392s	164105.877594	84.818424
51	500	2000000	12.120810708s	165005.464418	85.283378
50	500	2000000	12.015435371s	166452.561913	86.031313
49	500	2000000	12.953225602s	154401.695875	79.802800
48	500	2000000	12.882610547s	155248.037089	80.240233
47	500	2000000	12.993944208s	153917.853423	79.552725
46	500	2000000	12.452792482s	160606.546916	83.009789
45	500	2000000	13.387740073s	149390.411608	77.212709
44	500	2000000	13.641862757s	146607.544411	75.774379
43	500	2000000	13.584720573s	147224.228077	76.093113
42	500	2000000	13.504164686s	148102.459242	76.547028
41	500	2000000	14.549874915s	137458.226389	71.045537
40	500	2000000	14.107597172s	141767.586331	73.272838
39	500	2000000	14.121455763s	141628.457686	73.200929
38	500	2000000	14.766944594s	135437.631479	70.001189
37	500	2000000	14.186169843s	140982.380878	72.867003
36	500	2000000	14.386395427s	139020.229921	71.852861
35	500	2000000	15.300178346s	130717.430527	67.561544
34	500	2000000	14.733004012s	135749.640628	70.162451
33	500	2000000	15.596897683s	128230.628978	66.276236
32	500	2000000	15.69760735s	127407.951760	65.851034
31	500	2000000	15.972952337s	125211.667687	64.715881
30	500	2000000	15.774724882s	126785.095459	65.529110
29	500	2000000	16.365836122s	122205.794137	63.162289
28	500	2000000	16.247933959s	123092.573188	63.620623
27	500	2000000	17.293772722s	115648.565073	59.773173
26	500	2000000	18.446923357s	108419.163526	56.036644
25	500	2000000	18.441898485s	108448.704542	56.051912
24	500	2000000	19.78362286s	101093.718484	52.250474
23	500	2000000	20.938894957s	95516.024323	49.367633
22	500	2000000	22.149470288s	90295.613123	46.669454
21	500	2000000	23.30381843s	85822.845128	44.357695
20	500	2000000	24.666451436s	81081.788566	41.907271
19	500	2000000	27.198052654s	73534.676377	38.006533
18	500	2000000	28.627266775s	69863.463240	36.109059
17	500	2000000	31.221543374s	64058.332288	33.108667
16	500	2000000	34.157951575s	58551.520445	30.262461
15	500	2000000	36.724293978s	54459.862488	28.147680
14	500	2000000	39.51582704s	50612.631692	26.159232
13	500	2000000	44.258772811s	45188.781183	23.355905
12	500	2000000	48.935055451s	40870.496244	21.123991
11	500	2000000	54.48692407s	36706.054418	18.971592
10	500	2000000	1m0.422467593s	33100.270142	17.107935
9	500	2000000	1m9.981884409s	28578.824604	14.771018
8	500	2000000	1m21.164679672s	24641.260313	12.735881
7	500	2000000	1m36.737339077s	20674.540142	10.685674
6	500	2000000	1m58.055006308s	16941.255289	8.7561189
5	500	2000000	2m26.718528954s	13631.543434	7.0454883
4	500	2000000	3m15.534904067s	10228.352884	5.2865430
3	500	2000000	4m37.889594096s	7197.102887	3.7198359
2	500	2000000	7m33.583900982s	4409.327570	2.2789691
1	500	2000000	17m13.703676196s	1934.790449	1.
