thread	m	n	time	rate	speedup
64	500	400000	7.037282773s	56840.120385	29.046832
63	500	400000	6.946417392s	57583.640232	29.426791
62	500	400000	6.964782411s	57431.801368	29.349197
61	500	400000	6.908393474s	57900.581590	29.588756
60	500	400000	6.921409302s	57791.698561	29.533114
59	500	400000	6.9291336s	57727.274879	29.500192
58	500	400000	6.875391721s	58178.503310	29.730782
57	500	400000	6.870955231s	58216.068443	29.749978
56	500	400000	7.022572276s	56959.185933	29.107678
55	500	400000	7.086146686s	56448.168197	28.846534
54	500	400000	7.126494067s	56128.581072	28.683216
53	500	400000	7.13677607s	56047.716234	28.641892
52	500	400000	7.181599912s	55697.895302	28.463124
51	500	400000	7.27936334s	54949.860492	28.080858
50	500	400000	7.327935399s	54585.634046	27.894729
49	500	400000	7.210346439s	55475.836478	28.349646
48	500	400000	7.334080479s	54539.897830	27.871356
47	500	400000	7.345710388s	54453.548925	27.827230
46	500	400000	7.512952783s	53241.383455	27.207780
45	500	400000	7.622755084s	52474.465674	26.815865
44	500	400000	7.648611329s	52297.074958	26.725213
43	500	400000	7.435451638s	53796.328653	27.491372
42	500	400000	7.697165327s	51967.183113	26.556630
41	500	400000	7.462559777s	53600.910673	27.391509
40	500	400000	7.272753519s	54999.801513	28.106379
39	500	400000	7.448332698s	53703.293907	27.443829
38	500	400000	7.764234056s	51518.282050	26.327229
37	500	400000	7.654595718s	52256.188927	26.704320
36	500	400000	7.524314619s	53160.988110	27.166696
35	500	400000	7.673907925s	52124.680659	26.637115
34	500	400000	7.641621495s	52344.911386	26.749659
33	500	400000	7.666596634s	52174.389641	26.662518
32	500	400000	7.659409347s	52223.348026	26.687537
31	500	400000	7.69567568s	51977.242367	26.561770
30	500	400000	7.663938929s	52192.482704	26.671764
29	500	400000	7.594704478s	52668.277108	26.914908
28	500	400000	7.66484395s	52186.320114	26.668615
27	500	400000	8.040465155s	49748.365584	25.422754
26	500	400000	8.146571249s	49100.411421	25.091632
25	500	400000	8.451544608s	47328.626725	24.186203
24	500	400000	8.720340795s	45869.766951	23.440686
23	500	400000	9.099602903s	43957.962151	22.463702
22	500	400000	9.423878672s	42445.368189	21.690726
21	500	400000	9.976452804s	40094.411096	20.489324
20	500	400000	10.398178928s	38468.274375	19.658324
19	500	400000	11.747035643s	34051.143808	17.401051
18	500	400000	11.61112476s	34449.720270	17.604735
17	500	400000	12.183363109s	32831.657107	16.777861
16	500	400000	12.954431817s	30877.463840	15.779215
15	500	400000	13.803386134s	28978.396758	14.808741
14	500	400000	14.839997326s	26954.182754	13.774313
13	500	400000	15.890376157s	25172.468924	12.863809
12	500	400000	17.160927433s	23308.763560	11.911406
11	500	400000	18.75479466s	21327.879470	10.899121
10	500	400000	20.577050722s	19439.131749	9.9339197
9	500	400000	22.92330897s	17449.487791	8.9171581
8	500	400000	25.738002506s	15541.221581	7.9419827
7	500	400000	29.374943314s	13617.047554	6.9586779
6	500	400000	34.262314085s	11674.634673	5.9660527
5	500	400000	40.978572069s	9761.199080	4.9882356
4	500	400000	51.038450089s	7837.228586	4.0050348
3	500	400000	1m8.093686669s	5874.259708	3.0019049
2	500	400000	1m42.958831111s	3885.047991	1.9853641
1	500	400000	3m24.410770144s	1956.844053	1.
